City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
8,Hervey Bay,AU,82.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
11,Qui Nhon,VN,81.25,few clouds,13.7667,109.2333,Hoang Yen Canary Hotel
15,Camacari,BR,78.57,few clouds,-12.6975,-38.3242,Hotel Cambuci
21,Bambous Virieux,MU,82.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
23,Busselton,AU,79.09,few clouds,-33.65,115.3333,Observatory Guest House
29,Liloy,PH,83.19,heavy intensity rain,8.1144,122.6594,House of Villarin
37,Lilongwe,MW,82.6,clear sky,-13.9669,33.7873,Spendwise furnished apartments.
40,Atuona,PF,78.17,few clouds,-9.8,-139.0333,Villa Enata
41,Geraldton,AU,86.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
52,Kloulklubed,PW,88.3,few clouds,7.0419,134.2556,Storyboard Beach Resort
53,Faanui,PF,80.17,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
57,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
59,Dingle,PH,85.96,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
61,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Cititel Penang
65,Dubbo,AU,77.13,light rain,-32.25,148.6167,Comfort Inn Blue Lagoon
68,Mahebourg,MU,82.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
72,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
86,Finschhafen,PG,81.7,overcast clouds,-6.6024,147.8681,Cossam Guest House
88,Betare Oya,CM,77.25,overcast clouds,5.6,14.0833,Auberge Tembina Betaré Oya
95,Hithadhoo,MV,80.73,overcast clouds,-0.6,73.0833,Scoop Guest House
98,Champerico,GT,80.04,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
99,Celestun,MX,75.18,overcast clouds,20.8667,-90.4,Posada Lilia
102,Tamandare,BR,77.0,clear sky,-8.7597,-35.1047,Pousada 100 Passos
